filepath,label
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/789f32f2-8574-4f0f-978b-a4e6b11a7615.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/555ed1c9-b57e-4110-a14c-c5f17c344bfe.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/4d5f3e8d-2b59-4884-9178-3fc6a2adc8cf.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/a41907b6-55dc-4f8a-8b17-a6de4958413a.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/ae68bef5-8ca4-42fd-a275-d34ee4ea8c14_00000352.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/06/17fb3a39-4581-454d-a91d-f7f45b8fb45f.jpg,6
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/03/0f04fc18-1740-4259-ac97-a7853a6e4486.jpg,3
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/d127bf92-344e-48cd-b5a6-5695c0bec0f8.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/03/31b6e5b0-da4d-465b-b7f3-6f588b9e7173.jpg,3
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/05/1eafc0c7-d1a1-4311-b204-a7791bf24473.jpg,5
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/3263b1a2-7e01-4055-bda4-166f4c413f20.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/03ccdf30-eac8-4e3b-b8e5-54fbf64709dd.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/c7c28cec-5713-47d4-9afc-cee9b0f3ef60.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/527baba4-e784-4bbb-a1cb-1f4da4c44027.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/30a96e35-08ef-4145-8f20-5a23babab16a.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/8b9ab400-646b-4c36-a78b-c2342b7143af.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/09604dc2-4fc1-40b0-af2f-5a3e61b4ad6e.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/06/18eb6d66-568b-4507-a201-7756941276ef.jpg,6
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/febe4fda-65fd-4332-a3be-141a30c0ecae.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/06/a569ce25-f216-48c7-8226-124db06a45b7.jpg,6
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/dfa1e84b-403d-4b62-a874-77200c936ce6.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/4a5fb443-168f-4a69-9d65-008926ea3dc5.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/57326cc4-a5e6-4159-8efa-3c5721236fac.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/05/bcd210fb-a5e3-4a24-ab6f-474dd258d6b9.jpg,5
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/92152588-a98f-462c-a25d-39dc73e29786.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/12e8e78e-25eb-4cf0-96b3-bb8c6016aadc.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/05/4265866a-b197-4e86-9026-6113930b38c7.jpg,5
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/03/83f9938d-8e6a-434f-aa10-ea9f08922ae4.jpg,3
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/fde9f0e7-e04f-4831-a8fd-695aa2daf4da.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/a5cf92b3-ddaf-411b-ac9e-391a12469325.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/03/a362f288-979a-4e52-9359-fbfdc623a853.jpg,3
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/532909ef-595a-4560-9485-f9f83f3b936f.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/62431f0d-b4b8-4d98-a555-a581d2bf8e70.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/06/b6463288-dd56-419d-a2fe-978154562f48.jpg,6
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/05/25a3db73-9c02-4526-a64b-5aa141b5d337.jpg,5
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/7f5a1b7e-f676-40bd-9593-187889a8ff39.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/06/cda8e5c2-153b-43bb-8feb-595b63b3fab0.jpg,6
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/ce738b8c-c389-4db5-82f0-eacced58b152.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/03/b31a71e5-95a9-423b-9c7c-755593fed3d9.jpg,3
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/66a97d94-5515-4ebd-b31b-ae6c628f3cf5.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/b618b8d2-bc84-4bc8-ab7a-bd2cec25546d.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/06/354404bd-4f71-4a1a-b2a8-eb5eed98f975.jpg,6
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/03/62985062-872e-4d08-a9fa-d49bbc2383d8.jpg,3
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/78d3d972-933e-4137-90a9-6e5485cb6b57.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/8380c0a0-e53b-4f0e-bc2a-07090f0973e8.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/05/eaa3eee0-d4a6-4032-83da-72c5e43cf457.jpg,5
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/dc14b298-c62d-4c67-a2e3-892c446f1d03.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/03/1e7cb111-aef0-4b61-ab89-b6824ead8689.jpg,3
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/1867d5c0-2ceb-48fe-8b0c-2d66df35cc51.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/31bf71d3-745e-417f-a1a4-0b122d34d25b.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/e90fd670-382f-4c6f-a246-7387d99ae153.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/1f60585b-1b57-4a6b-aa2d-0e9047c0abf8.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/e28a5573-5d97-4a26-8438-3f921ebe2686.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/06/4ab8cd30-c74d-4522-a632-bc6cde4ee4e5.jpg,6
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/6def955e-1d14-470a-99ee-268b93876d8e.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/b50b5a17-cad9-42a7-83f3-7bde7fdebf4e.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/046f8e03-f28e-4087-a5ee-5fc91fedcbac.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/05/da4faf07-03e8-4195-a9f6-c659dc25b5ce.jpg,5
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/9666c8d6-1fdd-4963-97d7-71ac80e3c7bb.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/3192b0b3-9c92-47cb-8068-f0ef6702db48.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/3a9a2938-638c-4320-80a2-232b34318a37.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/336e3a19-e49b-4753-ac07-bace29944b6a.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/0fc0b0b8-2c5d-4fed-8254-a31562b6b1c6.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/1a859df4-b4f0-4a79-86e1-7c3abc7a92cc.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/144e9e19-2ffd-4f7d-bc8c-e669aa474fdf.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/12dc6ae2-b4f8-48d8-90e9-a82f2e0158a4.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/1b8c090c-6361-4746-b1f5-818fbdd153b2.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/8b2cd3ae-0b47-4c83-a093-4e8de0586d96.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/94aaec39-2b33-4c51-b4f0-11c70f4cd7b5.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/0a700cd0-d4ad-4a69-8e74-a22b0b028f7a.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/850f1bd0-c9b9-4684-a7e4-9c07d180690b.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/05/6a89b8a3-f536-43ed-ad2e-062de1454022.jpg,5
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/03b3deb8-a003-4098-8902-1ba15e6ae3c0.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/17b0fd2f-bb85-4c50-98df-bbb432ebbe58.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/3f338dcc-eaca-43f1-bb81-8b21ad73b816.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/b85e74c0-7c72-4ca6-86dd-1d067831b7d4.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/1fd0b100-f61b-421a-aadc-30a5e05662bb.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/5b6f0edd-25f7-4c06-a430-f6899318fd22.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/700c2d59-e47a-42c1-b2bf-216249905711.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/03/bbbc853e-adeb-484e-bafc-3542d419c4bb.jpg,3
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/05/db84c991-6ec2-4f76-8559-cf9ee9173ab1.jpg,5
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/4df6e3b4-bbc8-4675-aefd-3343268e1035.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/609bf923-2306-4e3b-871a-b5f86e23a460.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/cebc1f13-0d27-4eb1-b369-e079ae43c088.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/03/4f28a3d9-316e-4c8a-bf92-4c078d02c4ca.jpg,3
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/03/cab7d4ac-bd66-4d75-89dd-c7080e5c8ae4.jpg,3
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/86cffb88-5d6f-4a2a-9f7c-f7ddd277ad70.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/03/8c524ba6-c94c-4bcf-83c3-f47c207682d0.jpg,3
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/ffccac1c-197e-4c99-b580-c221b95f799a.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/06/1bc9e62d-561c-4f38-b014-cd7b7f04ebf6.jpg,6
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/254ed36c-9ac6-402b-b447-cf9df8abb310.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/afea91a9-349b-44e1-82a6-1dcb837c9316.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/1a322768-5460-4217-9d9f-eea5e7957457.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/64bba62e-2800-4c56-83b5-ca449c3507f7.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/da76f6aa-6fce-47f3-8167-27bb53a4cba2.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/2d49d0a3-549b-4fd0-bf3a-33f8456ee98f.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/09ba9acf-521a-4a81-9459-0598994cc543.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/bf16beb2-a1d7-4dc9-a107-50bbccb8bedc.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/06/0c1b433f-75b4-4dc0-8ea0-2eaac21593a7.jpg,6
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/3cf22724-538f-4652-822b-63730d0b8057.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/52157fe2-28c1-423b-a4c8-8dc9735fc1fc.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/01/4e56f8b5-e979-489b-94b6-e497dbbe4295.jpg,1
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/03df5c94-41fc-4cfa-bfea-2fa61714a539.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/e64558ff-2675-4385-b03b-0b38d5104c2e.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/02/001fb927-4814-4ba5-851d-189db99291d8.jpg,2
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/c4ca5f5a-df09-485f-8e2c-2bfc71e4055b.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/9d648e67-48f2-4b9e-a376-b64bc51e2c66.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/07/60277c82-44e8-47bb-b182-53e8fee36817.jpg,7
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/00/e5959a34-6b52-4053-b047-1d769a138bb9.jpg,0
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/04/035cea82-2bc7-4dd8-8553-11cc1c0866cf.jpg,4
/Users/srabontideb/Downloads/Young Learner_s Research Lab/GAN/kvasir_bilateral_filtered/05/2963ad7c-e227-4870-9432-86f2db75b0d1.jpg,5
